Sol,Filename,SCLCK,LTST,Ls_deg_,Comment,RMS_20_60,RMS_100_1000,Gustiness,MeanPressure,SD_Pressure,MeanTemp1,MeanTemp2,MeanTemp3,MeanCleanWS,MeanCleanWD,SD_CleanWS,SD_CleanWD,Incident_WD,GroundTemperature,TurbulentHeatFlux,Downwelling Flux
38,LS__0038_0670313275_665EA2__0031392SCAM02038_001_LUJ02.fits,670313089.95,11:53:28,24.2096,Passive Atmospheric Recording,0.0002399409411239,0.0002020185338319,0.045944452399927754,737.694583333333,0.0282600025568293,238.239701492537,241.643164179104,238.88871641791,2.89274626865672,74.8088059701492,1.30455314283992,61.242887782658,-44.9911940298508,271.505554,17.2456703,16.144
38,LS__0038_0670327831_525EA2__0031392SCAM07038_001_LUJ01.fits,670327645.59,15:49:38,24.288,Passive Atmospheric Recording,0.0059064333303371,0.0002781018748448,0.1232894278506657,732.54125,0.0776464233939206,243.393611940299,244.36128358209,255.600656716418,8.11047904191617,107.022095808383,2.23735386615132,9.97304678927475,-12.780904191617,254.550903,6.75707579,19.087
88,LS__0088_0674754017_977EA2__0040048SCAM03088_001_LUJ01.fits,674753832.215,12:43:48,47.5225,Passive Atmospheric Recording,0.0004141723377414,0.0002334665342877,0.04213033272219946,750.151130952381,0.038852177941838,242.013492537313,240.537462686567,240.585134328358,2.55693811074919,80.7226058631921,0.966740568209777,50.8696498018717,-136.673394136808,265.299316,14.0057755,16.298
89,LS__0089_0674864919_120EA2__0040048SCAM07089_001_LUJ01.fits,674864733.29,18:43:07,48.0923,Passive Atmospheric Recording,0.0026009401346316,0.0002646636397123,,,,,,,,,,,,229.682922,8.95313072,14.297
105,LS__0105_0676260248_420EA2__0040510SCAM05105_001_LUJ01.fits,676260065.41,12:01:24,55.2253,Passive Atmospheric Recording,0.0028528058409333,0.0007279277625139,0.12110277881609564,754.276071428571,0.100829112053354,236.197223880597,243.210925373134,236.306925373134,4.94173134328358,150.658149253731,1.94986595257128,38.0503280751213,-81.523850746269,277.155975,25.3774948,15.521
113,LS__0113_0676967842_497EA2__0040922SCAM03113_001_LUJ01.fits,676967656.75,11:21:24,58.8222,Passive Atmospheric Recording,0.0080912410313701,0.0031484032615784,0.26918358770235146,755.355654761905,0.0712727734879258,230.579253731343,239.059701492537,231.947552238806,3.90364179104478,158.854149253731,1.50480404061243,40.8416788603669,-94.482850746269,266.770233,18.8008041,15.298
117,LS__0117_0677326401_420EA2__0041250SCAM01117_001_LUJ01.fits,677326364.785,12:21:02,60.641,360 turn,0.0145207686590775,0.0039869874729685,,753.038064516129,0.0603003236496963,243.569344262295,239.820819672131,240.133278688525,5.59819672131148,107.296229508197,1.79085129495884,8.19910242321976,83.674029508197,268.747223,18.4656353,15.976
117,LS__0117_0677326456_436EA2__0041250SCAM01117_002_LUJ01.fits,677326418.78,12:21:55,60.6412,360 turn,0.008651943364605,0.000631367378442,,752.934516129032,0.0602682176981942,242.772131147541,236.692131147541,237.301967213115,7.95914893617021,114.181276595745,1.77280891070006,3.78779597323762,105.314416595745,268.747223,18.4656353,15.976
117,LS__0117_0677326510_446EA2__0041250SCAM01117_003_LUJ01.fits,677326472.915,12:22:48,60.6415,360 turn,0.0016231316378039,0.0001803403244614,,753.057419354839,0.0303279565127234,243.331147540984,235.895245901639,236.29868852459,5.38901639344262,107.297868852459,1.02731154787311,5.3171430658309,113.372868852459,268.747223,18.4656353,16.055
117,LS__0117_0677326564_444EA2__0041250SCAM01117_004_LUJ01.fits,677326526.84,12:23:40,60.6418,360 turn,0.0002212355015756,0.0001823029245359,,752.938387096774,0.0474760833960004,241.031147540984,236.067704918033,235.021803278688,1.9383606557377,132.772131147541,0.543991973984509,35.2463520152443,153.797131147541,268.747223,18.4656353,16.055
