LT(hr),Amp(Pa)
11.592,0.437
13.909,0.599
14.041,0.386
16.37,1.141
12.786,0.367
13.184,0.505
13.183,0.502
13.424,0.525
14.636,0.538
15.382,0.694
11.371,0.665
12.278,0.645
12.535,0.507
16.07,0.409
16.299,0.718
17.858,0.379
11.003,0.551
11.669,0.591
12.679,0.578
12.83,0.506
12.869,0.315
13.05,0.548
15.42,0.722
16.663,0.518
16.781,0.434
17.161,0.686
17.333,0.501
12.24,0.647
12.34,0.311
14.092,0.53
15.916,0.532
16.065,0.371
11.006,0.52
11.21,0.412
12.877,0.336
13.14,3.166
13.58,0.427
13.877,0.561
14.161,0.323
15.089,0.549
15.089,0.433
16.955,0.302
10.498,0.365
12.137,0.595
12.316,0.319
12.369,1.453
14.279,0.958
14.361,0.689
11.325,0.35
11.432,0.382
13.093,1.033
13.284,0.696
14.834,0.304
16.634,0.359
18.201,0.365
18.313,0.959
19.817,0.337
2.856,0.343
11.022,0.535
13.541,0.304
15.229,0.561
11.855,0.423
13.147,0.369
13.182,0.41
13.852,1.592
12.179,1.101
13.039,0.567
15.325,0.938
16.632,0.445
11.89,0.624
12.169,0.722
12.24,0.561
12.331,1.077
12.411,0.415
12.503,1.999
12.674,0.382
13.204,0.634
13.575,0.525
13.768,0.316
13.802,2.17
15.1,0.362
15.573,0.356
11.92,1.206
13.446,0.357
14.263,0.338
15.901,0.375
10.286,1.186
12.731,1.493
12.188,1.324
14.229,1.146
14.468,0.597
12.074,0.716
12.509,0.411
12.892,0.304
13.183,0.558
15.297,0.61
11.048,1.44
12.164,1.589
12.439,0.389
12.517,0.334
14.052,0.479
14.726,0.784
10.677,0.348
11.651,0.629
12.229,0.397
13.304,0.733
14.142,0.582
14.142,0.415
14.297,0.328
15.822,0.522
10.872,0.36
11.041,0.771
11.041,0.394
11.202,0.365
12.431,0.518
12.61,0.323
12.822,0.783
13.821,0.59
14.799,0.506
15.718,0.689
18.6,0.569
10.863,0.452
11.555,0.399
11.953,0.628
12.445,0.314
12.966,1.105
12.982,0.535
13.608,0.663
14.876,0.502
16.75,0.399
19.193,0.367
19.574,0.381
12.161,0.571
13.18,0.655
13.207,0.674
13.522,0.314
13.714,0.362
14.8,0.517
14.8,0.388
11.081,0.53
11.212,0.55
12.254,0.334
12.821,0.687
13.744,0.354
14.171,0.518
14.171,0.482
15.717,1.275
15.883,0.939
18.981,0.323
19.109,0.585
19.346,0.447
19.347,0.447
19.406,0.438
19.407,0.457
12.37,0.357
12.806,0.359
12.887,0.341
13.739,0.409
13.792,0.369
15.155,0.349
15.328,0.588
15.529,0.578
15.623,0.421
18.083,0.543
18.487,0.545
11.721,0.541
11.721,0.434
12.51,0.907
13.312,0.45
15.553,0.525
17.012,0.657
11.325,0.776
11.415,0.611
11.548,0.585
